RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CN(C)C=1C=CC=2CCCN(CC2C1)C3=NC=CN(CC(=O)O)C3=O	Z5227645790	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493612078977933	Compound 9
CC1=CC(=C(C)O1)C=2C=C(C(=O)N3CCN(C[C@@H](C)O)CC3)C=4C(C)=NOC4N2	Z1767751655	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493603411513859	Compound 2ab
CC(C=1C=CC=CN1)N(C)CC(O)C=2C=CC(F)=CN2	Z1994012688	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493603411513859	Benzimidazole13ibis
CN1C(=O)NC(=O)C2=C1N=C(N2CC=3C=CC=CC3Cl)N4CCN(CC=5C=CC=CC5)CC4	Z238920694	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493603411513859	Compound 2ab
CC1(C)NC(=O)N(C1=O)C=2C=CC=3N=C(OC3C2)C=4C=CC=CN4	Z1892039317	CN(CCCNc1nc2c(o1)cc(cc2)N)C	0.493597206053551	Benzoxazole derivative 23
O=C(C=1C=CC=2NN=CC2N1)N3CCC4(C=CC=5C=CC=CC5O4)CC3	Z3359124095	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493597206053551	Compound 2ab
CNC=1C=CC=NC1CNC=2C=C(N=CN2)C(F)F	Z2971803440	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493589743589744	Benzimidazole13ibis
CC=1C=CN2C(NC(=O)C=3C=C(F)C(F)=CC3Cl)=C(N=C2C1)C4=CC=CS4	Z71041612	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493589743589744	Compound 2ab
CCC(C)Nc1c2ccccc2n2c(c(nn2)S(c2ccc(C)cc2)(=O)=O)n1	C718-0120	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493589743589744	VS compound 8c
CC(NC(=O)C=1N=CC=C(C#N)C1F)C2=CSC=3C=CC=CC23	Z7901935116	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493582263710618	Compound 2ab
O=C(NC1CCCN(C1)C=2C=CC(Cl)=CC2Cl)C=3C=NC=4NN=NC4C3	Z1834320060	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493582263710618	Compound 2ab
O=C(C1=CC=2C=CC=CC2N1)N3CCN(CC3)S(=O)(=O)C4=CC=C5CCCCC5=C4	Z27543279	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493582263710618	Compound 2ab
CC1=NNC(C)=C1NC(=O)CN2CCC(C2)N(C)CC=3C=CC=CC3	Z1348577734	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.49358059914408	benzamide derivative
CCC1=CC(CNC(=O)N2C3CCCC2C=4C=NC(N)=NC4C3)=NO1	Z6295426327	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493576017130621	Compound 2ab
CC1=CC(CN(C)CC2=CSC(CC=3C=CC=CC3)=N2)=NO1	Z644086384	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.493576017130621	dimethylamine_derivative
N[C@@]12CN(C[C@H]2COCC1)C(=O)C=3C=CN=C(C3)N4C=CC=N4 |&1:1,5,r|	Z4448803524	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493567251461988	Compound 2ab
CC=1C=CC(=CC1)C2=NC=3C=CC=CC3C(=O)N2C=4C=NC=CC4	Z56772181	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493567251461988	VS compound 8c
CC1CN(CCC1N)C(=O)C=2C=C(C3=CC=CO3)N4C=NC(C(N)=O)=C4N2	Z4896601005	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493562231759657	Compound 2ab
COC=1C=CC(=CC1)CCCN(C)C(C)C(=O)NC2=CC(C)=NO2	Z785416358	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493562231759657	Isis-22
CC(NC(C)C(C=1C=CC=CC1)N(C)C)C=2C=NC=CN2	Z1715938707	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493562231759657	Benzimidazole13ibis
CC=1C=CC=2C(=CNC2C1)CC(=O)N3CC4CC3C4C=5OC=NC5C(N)=O	Z3416860117	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493548387096774	Compound 2ab
CN(CC1CN(CCCC=2C=NN(C)C2)CCO1)C3=CC=CN=N3	Z1268925813	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493548387096774	Isis-22
CC=1C=CC=C(C1)C(NC(=O)CN2CCCC(C2)C(=O)O)C(C)(C)C	Z2910677272	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493548387096774	Benzimidazole13ibis
CCN1CC(=CC=2C=CC=CC2)C=3N=C4C=CC=CC4=C(C(=O)O)C3C1	Z46146519	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493548387096774	VS compound 8c
CCC=1C=C(N2CCN3N=C(N)C=C3C2)N4N=CN=C4N1	Z2974197910	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493548387096774	VS compound 8c
NC(=O)C=1C=CC(=CC1)CN2CCC=3C=CC=CC3C2CC=4C=CC=CC4	Z1523107284	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493548387096774	Benzimidazole13ibis
CC(C)C(=O)N1CCN(CC1)C(=O)C=2C=CC=C(C2)NC=3C=NN(C)C3	Z1451108229	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493543758967001	Compound 2ab
CC=1C=CC=2C=CC=C(OCC=3C=C(Cl)C=4OCOC4C3)C2N1	Z168971704	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493540051679587	VS compound 8c
CC=1C=C2C(=NC=CN2N1)NC[C@@H]3CCCN(C)[C@H]3C4=CN=CN4C	Z2054010443	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493534482758621	VS compound 8c
CC=1C=C(C=C(O)C1C)NC(=O)C2=CC(CN)=NN2	Z5385657444	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493534482758621	Benzimidazole13ibis
O=C(C1=CC=2C=CC=CC2NC1=O)N3CCN(CCOC=4C=CC=CC4)CC3	Z223841486	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493523316062176	Compound 2ab
COC=1N=CC(=CC1C(N)=O)NC(=O)N2CCC(C)CC2C3=CC=C(C)O3	Z1731902644	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493520518358531	Compound 2ab
CCC1=NN=C(N1)C2CN(CC3=CNN=C32)C(=O)C4=CN=CC(OC)=C4C	Z3414192212	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493492407809111	Compound 2ab
Cc1ccc(cc1)C(c1c(c2c(cc(C)nc2s1)C(F)(F)F)N)=O	8001-1625	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493492407809111	VS compound 8c
CC1=CC=C(O1)C=2C=C(C(=O)N(CCN)CCN)C=3C=CC=CC3N2	Z3139331656	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493491124260355	Compound 2ab
CN(C)C(CNC(=O)C=1C=C(N=C2C=CC=CC12)C=3C=CN=CC3)C=4C=CSC4	Z343566550	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493491124260355	Compound 2ab
COC=1C=CC=CC1NC(=O)C(C)N2CCCC(C2)C(N)=O	Z46443305	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.493491124260355	Compound 1 (2017)
O=C(NC=1C=CC=CC1)C(C=2C=CC=CC2)N3CCC(CC3)C(=O)NC=4C=CC=CC4O	Z195822362	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493489583333333	Compound 2ab
CC1=CC(=NN1C=2C=CC=CC2Br)C(=O)N3CCCCC3C=4C=NN(C)C4	Z3894681064	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493478260869565	Compound 2ab
COC=1C=C(C=CC1C)CC(=O)N2CCC3=C(C2)SC=4N=CN=C(N)C43	Z193128094	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493478260869565	VS compound 8c
CN(c1cnc(-c2cc3cnn(C)c(=O)c3cc2O)nn1)[C@@H]1C[C@H]2CC[C@H](N2)[C@@H]1F	Patent_dataset_62	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493478260869565	VS compound 8c
CC1=CC=CN2C(NC(=O)C=3C=NC4=C(C=NN4C(C)C)C3)=C(N=C12)C=5C=CC=CC5	Z218296092	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493477027793534	Isis-22
O=C(NC=1C=CC=2NC(=O)NC2C1)C=3C=CC(Cl)=C(C3)S(=O)(=O)N4CCOCC4	Z26794393	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493475682087782	Compound 9
CC(CNC(=O)C=1C=COC1)N2CCC=3C=CC=CC3C2	Z344228098	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493468795355588	Compound 2ab
CC1=NOC=2N=C(C=C(C(=O)N3CCC(CN(C)C)C3)C12)C=4C=CC=C(C4)C(F)(F)F	Z1240204795	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493464052287582	Compound 2ab
COC=1N=CN=C2CCN(CC=3C=C(F)C=C4C=CC=NC34)CC12	Z989452794	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.49346016646849	VS compound 8c
CC=1N=COC1C(=O)NC2CN(C2)C(=O)C3=CC=C4NN=CC4=C3	Z3464155643	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493455497382199	Compound 2ab
C(CNC(c1c(c2ccc(c3ccccn3)nc2s1)N)=O)c1c[nH]c2ccccc12	9212199	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493449781659389	Compound 2ab
NCC1CCC2(CCC2)C1NC(=O)C=3C=NC=4C=CNC4C3	Z3520305296	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493438320209974	Compound 2ab
CN(C)CCN1C=CC=2C=C(C=CC21)NC(=O)C=3C=C(N=C4C=CC=CC34)C=5C=CN=CC5	Z972130504	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.493428912783751	Compound 10
O=C(O)C(F)(F)F.CC=1C=CC(=CC1NC(=O)C=2C=C(NN2)C=3C=NN(C)C3)NC4CCN(C)CC4	Z5591751448	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493428912783751	Compound 9
CC(C(=O)N[C@@H]1CCCN(CCO)C1)N2C=NC3=C(N)N=CN=C32	Z5111088606	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493428912783751	Compound 2ab
O=C(N[C@@H]1CC(CN2C=CN=C2)C[C@H]1O)C=3C=CC=C(C3)NC=4C=CN=CC4 |&1:3,13,r|	Z3687059758	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493421052631579	Compound 2ab
C1CN(C[C@H]([C@@H]1NC(c1ccccn1)=O)O)C(COc1cccc(c1)F)=O	17818802	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493421052631579	Compound 2ab
O=C(NC(CNC(=O)C1(CC1)N2C=NN=N2)C=3C=CC=4C=CC=CC4C3)C=5C=CC=NC5	Z4921678646	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493413173652695	Compound 2ab
CCC(=O)N1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CCC=4C=CC=CC4	Z1347815298	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493413173652695	Isis-22
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(Cl)=CC4)CC3	Z238917636	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493413173652695	Isis-22
COC=1C=CC(=CC1)C2C(C(=O)NC=3C=CC=CC3)=C(C)NC=4CC(C)(C)CC(=O)C42	Z56853771	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.493397358943577	Benzimidazole13ibis
C(c1cccnc1)Nc1cccc(c1)c1nc2ccccc2[nH]1	9142557	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.493397358943577	Compound 1 (2017)
COC=1C=CC(=CC1)CN2CC=3NC(=O)NC(C=4C=CC(O)=CC4)C3C2=O	Z281877416	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493377483443709	Compound 2ab
O=C(NCC=1C=CC=CC1)C=2C=CN=C3NC=NC23	Z1592254651	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	0.493377483443709	Benzimidazole 11 / Isis-11
O=C(NC1=NNC=2C=C(O)C=CC12)C3CCN(CC3)C=4C=CC5=NN=C(N5N4)C(F)(F)F	Z2233663844	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493362831858407	VS compound 8c
CN1C(=O)C2=C(N=CN2CC(=O)N3CCCC4CNCCCC43)N(C)C1=O	Z2394378435	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493362831858407	Compound 2ab
CCOc1cc2nn(C)cc2cc1C(=O)Nc1cnc(N2CC(NC)C3(CC3)C2)cn1	Patent_dataset_164	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493362831858407	VS compound 8c
COC1=CC=C(C=C1)NC2=C3C(=NC4=C(S3)C=C(C=C4)OC)C5=CC=CC=C5C2=O 	Target_lig_1034	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493356441363374	Isis-22
Cc1cc2NC(CN3CCC4(CC3)C(Cc3ccccc34)O)=CC(n2n1)=O	40183085	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493348115299335	Compound 2ab
CC1=CC(CC(C)NC(=O)NC=2C=CC(F)=C(C2)C(=O)N(C)C)=NN1	Z1731864676	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493333333333333	Compound 9
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCC(CC=4C=CC=CC4)CC3	Z239084390	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493333333333333	Isis-22
CN(C)C=1C=C(N=C(N1)NCC=2C=CC=3NC=NC3C2)C(F)(F)F	Z2851834261	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.49331550802139	VS compound 8c
CC1=CC=C(O1)C(=O)N(C)C[C@@H]2C[C@H](F)CN2CC(N)=O	Z1762255551	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493297587131367	Compound 2ab
CCC=1C=CC(=CC1)C(=O)N2CCC(CC2)C3=CC=NN3	Z1240435454	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.493293591654247	benzamide derivative
CCOC(=O)C(CCC=1C=CC=CC1)N2CCC(C2)N3C=NC4=C(N)N=CN=C43	Z4275241556	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493288590604027	Compound 2ab
O=C(O)C1CC=2C(O)=CC=CC2C1NC(=O)C=3C=CC(=NC3)NC(=O)NC4CC4	Z5010894430	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493288590604027	Compound 9
CN1C(=O)NC(=O)C2=C1N=C(N2CCCC=3C=CC=CC3)N4CCNCC4	Z246669732	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493284493284493	Isis-22
O=C(O)C1=C(NC(=O)C=2C=NC=CC2)SC=3CCCC13	Z56801673	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493273542600897	Compound 9
CCCCOC=1C=CC(=CC1)C2NC(N)=NC3=NC4=CC=CC=C4N32	Z56772116	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493273542600897	VS compound 8c
CNC(=O)CNC1=NC2=C(Cl)C(C)=NN2C=3C=CC=CC13	Z165229118	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493258426966292	VS compound 8c
O=C(CCNC=1N=CC=CN1)NC=2C=CC=3NC(CC=4C=CC=CC4F)=NC3C2	Z829049786	CN(c1ccc2c(c1)nc1c(n2)cc(c(c1)N)C)C	0.493253373313343	Phenazine 1
CCC1=NC=C(N1)C(C(=O)NCCOCC=2C=CC=CC2)N3CCC=4C=C(O)C=CC4C3	Z8630112575	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493243243243243	Compound 2ab
COCCN(C(=O)C1=NN(C2=CC=C(F)C(F)=C2)C=3CCCC13)C=4C=CN=CC4	Z1203077685	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493243243243243	Isis-22
O=C(NC1CCN(CC1)C(=O)C=2C=COC2)C=3C=CC=C(C3)NC=4N=CC=CN4	Z332957398	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493243243243243	Compound 2ab
CC=1SC(=NC1C2=CNC=3N=CC=CC23)NC(=O)C(N)CCS(N)(=O)=O	Z8756050618	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.493238434163701	Compound 3b
C=C(C)CN1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CC=4C=CC=CC4C	Z238875748	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493231312536786	Isis-22
COC=1C(=CC=C2NC=CC12)CN[C@H]3CCN(C3)C4=CC(=O)N(C)C(=O)N4	Z3686022353	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493227990970655	VS compound 8c
NC(=O)CN1CCC(CC1)NC(=O)C2=CC=3C=CC(Cl)=CC3N2	Z370413158	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493224932249323	Compound 2ab
CN1CCN(CC2=CC=CC(=C2)NCC=3C=CNN3)CC1	Z1323606205	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.493220338983051	Compound 10
NC=1NN=C(C(=O)NC2=CC=3OC(=O)NC3C=C2F)C1Br	Z8701488573	CN(CCCNc1nc2c(o1)cc(cc2)N)C	0.493218249075216	Benzoxazole derivative 23
CC1=CC(=O)C(=NN1C=2C=CC=CC2F)C(=O)NCC(C=3C=CC=CC3)N(C)C	Z116834646	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493212669683258	Compound 2ab
CC=1C=CSC1C2NC(N)=NC3=NC=4C=CC=CC4N32	Z94793572	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493207324276432	Isis-22
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4F)CC3	Z238875544	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493199290360733	Isis-22
O=C(O)C1=C(NC(=O)C2=NNC=3N=CC=CC23)SC=4CCCC14	Z6739491628	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493193717277487	Compound 9
CN1C(=O)C2=C(N=C(NCCCC=3C=CC=CC3)N2CC=4C=CC=CC4F)N(C)C1=O	Z56849015	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493191237418591	Isis-22
O=C(NC=1C=CN=CC1)N2CCC(CC2)C3=NC=4C=CC=CC4O3	Z813041296	CN(CCCNc1nc2c(o1)cc(cc2)N)C	0.493188010899183	Benzoxazole derivative 23
CN1C=NC=C1CCNC=2N=C(N=C3C=CC=CC23)C4=CC=CN=C4	Z1661114420	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.493183640737771	Compound 1 (2017)
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4F)CC3	Z238917588	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493183165382336	Isis-22
CN1C=NN=C1C=2C=CC(=NC2)NC(=O)C3=CN=C4C=CC=CC4=C3C(F)(F)F	Z1562542448	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493181818181818	VS compound 8c
NC(=O)C=1C=CSC1NC(=O)COC(=O)CCNC2=NS(=O)(=O)C=3C=CC=CC23	Z17091132	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493181818181818	Compound 9
CN1C(=O)C=2C(=C(NC=3C=CC=CC3)OC2N(C)C1=O)C=4C=CC=CC4	Z359382922	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493179433368311	VS compound 8c
[H]N(CCN(CC)CC)c1c2c3CC(C)(CC)OCc3sc2nc(n1)SC	8640-0306	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493179433368311	Compound 9
CC=1C=CC=C(C1)CC(CNC(=O)C=2C=CC(=CC2)N3CCNC3=O)C(=O)O	Z1445329195	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493169398907104	Compound 9
CCC1CCC(CC1)N(C(=O)C=2C=NC3=NNC(C)=C3C2)C4CC4	Z826801242	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493150684931507	Compound 2ab
O=C(O)CN(CC1CC1)C2CC(C2)NC(=O)C=3C=CC=C4NN=CC34	Z1762649499	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493150684931507	Compound 2ab
CN(C)CCNC1=NC2=C(C(=O)NC(=O)N2C)N1CCCC=3C=CC=CC3	Z238920974	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493142144638404	Isis-22
